
This table lists the correspondence between Protocol API versions and robot software versions.

| API Version | Introduced in Robot Software |
| :---------- | :--------------------------- |
| 2.16        | 7.1.0                        |
| 2.15        | 7.0.0                        |
| 2.14        | 6.3.0                        |
| 2.13        | 6.1.0                        |
| 2.12        | 5.0.0                        |
| 2.11        | 4.4.0                        |
| 2.10        | 4.3.0                        |
| 2.9         | 4.1.0                        |
| 2.8         | 4.0.0                        |
| 2.7         | 3.21.0                       |
| 2.6         | 3.20.0                       |
| 2.5         | 3.19.0                       |
| 2.4         | 3.17.1                       |
| 2.3         | 3.17.0                       |
| 2.2         | 3.16.0                       |
| 2.1         | 3.15.2                       |
| 2.0         | 3.14.0                       |
| 1.0         | 3.0.0                        |



