Phenotype,HGNC
"{Esophageal cancer, alcohol-related, susceptibility to}",ALDH2
"{Hangover, susceptibility to}",ALDH2
"{Sublingual nitroglycerin, susceptibility to poor response to}",ALDH2
"Alcohol sensitivity, acute",ALDH2
?ACAT2 deficiency,ACAT2
"Multiple pterygium syndrome, lethal type","CHRNA1,CHRND,CHRNG"
"Myasthenic syndrome, congenital, 1A, slow-channel",CHRNA1
"Myasthenic syndrome, congenital, 1B, fast-channel",CHRNA1
"?Myasthenic syndrome, congenital, 2C, associated with acetylcholine receptor deficiency",CHRNB1
"Myasthenic syndrome, congenital, 2A, slow-channel",CHRNB1
"?Myasthenic syndrome, congenital, 3A, slow-channel",CHRND
"?Myasthenic syndrome, congenital, 3C, associated with acetylcholine receptor deficiency",CHRND
"Myasthenic syndrome, congenital, 3B, fast-channel",CHRND
"Myasthenic syndrome, congenital, 4A, slow-channel",CHRNE
"Myasthenic syndrome, congenital, 4B, fast-channel",CHRNE
"Myasthenic syndrome, congenital, 4C, associated with acetylcholine receptor deficiency",CHRNE
Escobar syndrome,CHRNG
"[Blood group, Yt system]",ACHE
Infantile cerebellar-retinal degeneration,ACO2
Optic atrophy 9,ACO2
?Spermatogenic failure 87,ACR
Atrial septal defect 5,ACTC1
"Cardiomyopathy, dilated, 1R",ACTC1
"Cardiomyopathy, hypertrophic, 11",ACTC1
Left ventricular noncompaction 4,ACTC1
Megacystis-microcolon-intestinal hypoperistalsis syndrome 5,ACTG2
Visceral myopathy 1,ACTG2
Baraitser-Winter syndrome 2,ACTG1
"Deafness, autosomal dominant 20/26",ACTG1
"Arrhythmogenic right ventricular dysplasia, familial",FLNC
"Cardiomyopathy, familial hypertrophic, 26",FLNC
"Cardiomyopathy, familial restrictive 5",FLNC
"Myopathy, distal, 4",FLNC
"Myopathy, myofibrillar, 5",FLNC
"Cardiomyopathy, dilated, 1AA, with or without LVNC",ACTN2
"Cardiomyopathy, hypertrophic, 23, with or without LVNC",ACTN2
Congenital myopathy 8,ACTN2
"Myopathy, distal, 6, adult onset",ACTN2
[Alpha-actinin-3 deficiency],ACTN3
[Sprinting performance],ACTN3
"Bleeding disorder, platelet-type, 15",ACTN1
Fibrodysplasia ossificans progressiva,ACVR1
"Leukemia, acute promyelocytic, PML/RARA type",PML
"Cerebellar ataxia, neuropathy, and vestibular areflexia syndrome",RFC1
"Autoimmune disease, multisystem, infantile-onset, 1",STAT3
"Hyper-IgE syndrome 1, autosomal dominant, with recurrent infections",STAT3
Adenine phosphoribosyltransferase deficiency,APRT
"?Myopathy, scapulohumeroperoneal",ACTA1
"Congenital myopathy 2A, typical, autosomal dominant",ACTA1
"Congenital myopathy 2B, severe infantile, autosomal recessive",ACTA1
"Congenital myopathy 2C, severe infantile, autosomal dominant",ACTA1
"Aortic aneurysm, familial thoracic 6",ACTA2
Moyamoya disease 5,ACTA2
Smooth muscle dysfunction syndrome,ACTA2
Baraitser-Winter syndrome 1,ACTB
"Becker nevus, syndromic or isolated, somatic mosaic",ACTB
"Congenital smooth muscle hamartoma with or without hemihypertrophy, somatic mosaic",ACTB
Dystonia-deafness syndrome 1,ACTB
"Thrombocytopenia 8, with dysmorphic features and developmental delay",ACTB
"{Hypertension, essential, salt-sensitive}",ADD1
Hypermethioninemia due to adenosine kinase deficiency,ADK
Myopathy due to myoadenylate deaminase deficiency,AMPD1
"?Spastic paraplegia 63, autosomal recessive",AMPD2
"Pontocerebellar hypoplasia, type 9",AMPD2
"[AMP deaminase deficiency, erythrocytic]",AMPD3
?Hypermetabolism due to uncoupled mitochondrial oxidative phosphorylation 2,ATP5F1B
Hemolytic anemia due to adenylate kinase deficiency,AK1
Reticular dysgenesis,AK2
"?Deafness, autosomal recessive 44",ADCY1
Periventricular nodular heterotopia 8,ARF1
Mitochondrial DNA depletion syndrome 12A (cardiomyopathic type) AD,SLC25A4
Mitochondrial DNA depletion syndrome 12B (cardiomyopathic type) AR,SLC25A4
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 2",SLC25A4
Auditory neuropathy and optic atrophy,FDXR
"Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects",AGRN
?[Dysalbuminemic hypertriiodothyroninemia],ALB
[Dysalbuminemic hyperthyroxinemia],ALB
Analbuminemia,ALB
"AMED syndrome, digenic",ADH5
"{Aerodigestive tract cancer, squamous cell, alcohol-related, protection against}",ADH1B
"{Alcohol dependence, protection against}","ADH1B,ADH1C"
"{Parkinson disease, susceptibility to}","ADH1C,MAPT,TBP,ATXN8OS"
Glycogen storage disease XII,ALDOA
[Hereditary persistence of alpha-fetoprotein],AFP
Alpha-fetoprotein deficiency,AFP
"{Atrial fibrillation 8, susceptibility to}",ZFHX3
"Prostate cancer, somatic","ZFHX3,MXI1,PTEN,KLF6,MAD1L1,CHEK2"
Spinocerebellar ataxia 4,ZFHX3
Polycystic kidney disease 3,GANAB
Kanzaki disease,NAGA
"Schindler disease, type I",NAGA
"Schindler disease, type III",NAGA
"?Lipodystrophy, familial partial, type 8",ADRA2A
"Myopia 23, autosomal recessive",LRPAP1
"{Congestive heart failure and beta-blocker response, modifier of}",ADRA2C
"?Acne inversa, familial, 3",PSEN1
"Alzheimer disease, type 3",PSEN1
"Alzheimer disease, type 3, with spastic paraparesis and apraxia",PSEN1
"Alzheimer disease, type 3, with spastic paraparesis and unusual plaques",PSEN1
"Cardiomyopathy, dilated, 1U",PSEN1
"Dementia, frontotemporal",PSEN1
Pick disease,"PSEN1,MAPT"
Cystinuria,"SLC3A1,SLC7A9"
Aminoacylase 1 deficiency,ACY1
"Alzheimer disease 1, familial",APP
"Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants",APP
"{?Amyloidosis, secondary, susceptibility to}",APCS
"{Neuroblastoma, susceptibility to, 3}",ALK
Amyotrophic lateral sclerosis 9,ANG
"{Hypertension, essential, susceptibility to}","AGT,GNB3,ECE1"
"{Preeclampsia, susceptibility to}",AGT
Renal tubular dysgenesis,"AGT,AGTR1,ACE,REN"
"{Hypertension, essential}",AGTR1
"[Angiotensin I-converting enzyme, benign serum increase]",ACE
{Microvascular complications of diabetes 3},ACE
"{Myocardial infarction, susceptibility to}","ACE,ESR1,LGALS2,LTA,ITGB3,GCLM,LRP8,OLR1,PSMA6,TNFSF4,GCLC,MIAT"
"{SARS, progression of}",ACE
"{Stroke, hemorrhagic}",ACE
Short QT syndrome 7,SLC4A3
"Cardiac arrhythmia, ankyrin-B-related",ANK2
Long QT syndrome 4,ANK2
"Immunodeficiency, common variable, 3",CD19
"[Blood group, Indian system]",CD44
"Hemolytic anemia, CD59-mediated, with or without immune-mediated polyneuropathy",CD59
Alpha-1-antichymotrypsin deficiency,SERPINA3
"Cerebrovascular disease, occlusive",SERPINA3
Thrombophilia 7 due to antithrombin III deficiency,SERPINC1
Lichtenstein-Knorr syndrome,SLC9A1
"Epilepsy, early-onset, 4, vitamin B6-dependent",ALDH7A1
Emphysema due to AAT deficiency,SERPINA1
"Emphysema-cirrhosis, due to AAT deficiency",SERPINA1
Hemorrhagic diathesis due to antithrombin Pittsburgh,SERPINA1
"Immunodeficiency 106, susceptibility to viral infections",IFNAR1
"{H. pylori infection, susceptibility to}",IFNGR1
"{Hepatitis B virus infection, susceptibility to}",IFNGR1
"{Tuberculosis infection, protection against}",IFNGR1
"{Tuberculosis, susceptibility to}","IFNGR1,CISH"
"Immunodeficiency 27A, mycobacteriosis, AR",IFNGR1
"Immunodeficiency 27B, mycobacteriosis, AD",IFNGR1
Branchiooculofacial syndrome,TFAP2A
"{Hypercholesterolemia, familial, modifier of}","APOA2,GHR"
Apolipoprotein A-II deficiency,APOA2
"Amyloidosis, 3 or more types",APOA1
"Hypoalphalipoproteinemia, primary, 2",APOA1
"Hypoalphalipoproteinemia, primary, 2, intermediate",APOA1
Apolipoprotein C-III deficiency,APOC3
"Hypercholesterolemia, familial, 2",APOB
