chrom	start	end	gene	type	HGNC
chr1	11869	14409	"DDX11L2"	"lncRNA"	"DDX11L2"
chr1	12010	13670	"DDX11L1"	"transcribed_unprocessed_pseudogene"	"DDX11L1"
chr1	14696	24886	"WASH7P"	"unprocessed_pseudogene"	"WASH7P"
chr1	17369	17436	"MIR6859-1"	"miRNA"	"MIR6859-1"
chr1	29554	31109	"MIR1302-2HG"	"lncRNA"	"MIR1302-2HG"
chr1	30366	30503	"MIR1302-2"	"miRNA"	"MIR1302-2"
chr1	34554	36081	"FAM138A"	"lncRNA"	"FAM138A"
chr1	52473	53312	"OR4G4P"	"unprocessed_pseudogene"	"OR4G4P"
chr1	57598	64116	"ENSG00000290826"	"lncRNA"	"ENSG00000290826"
chr1	62949	63887	"OR4G11P"	"transcribed_unprocessed_pseudogene"	"OR4G11P"
chr1	65419	71585	"OR4F5"	"protein_coding"	"OR4F5"
chr1	89295	133566	"ENSG00000238009"	"lncRNA"	"ENSG00000238009"
chr1	89551	91105	"ENSG00000239945"	"lncRNA"	"ENSG00000239945"
chr1	131025	134836	"CICP27"	"processed_pseudogene"	"CICP27"
chr1	135141	135895	"ENSG00000268903"	"processed_pseudogene"	"ENSG00000268903"
chr1	137682	137965	"ENSG00000269981"	"processed_pseudogene"	"ENSG00000269981"
chr1	139790	140339	"ENSG00000239906"	"lncRNA"	"ENSG00000239906"
chr1	141474	173862	"ENSG00000241860"	"lncRNA"	"ENSG00000241860"
chr1	157784	157887	"RNU6-1100P"	"snRNA"	"RNU6-1100P"
chr1	160446	161525	"ENSG00000241599"	"lncRNA"	"ENSG00000241599"
chr1	182696	184174	"DDX11L17"	"unprocessed_pseudogene"	"DDX11L17"
chr1	185217	195411	"WASH9P"	"unprocessed_pseudogene"	"WASH9P"
chr1	187891	187958	"MIR6859-2"	"miRNA"	"MIR6859-2"
chr1	257864	359681	"ENSG00000292994"	"lncRNA"	"ENSG00000292994"
chr1	258568	259024	"ENSG00000228463"	"transcribed_processed_pseudogene"	"ENSG00000228463"
chr1	266855	268655	"ENSG00000286448"	"lncRNA"	"ENSG00000286448"
chr1	347982	348366	"RPL23AP24"	"processed_pseudogene"	"RPL23AP24"
chr1	358857	366052	"ENSG00000236601"	"lncRNA"	"ENSG00000236601"
chr1	365389	522928	"ENSG00000290385"	"lncRNA"	"ENSG00000290385"
chr1	439870	440232	"WBP1LP7"	"processed_pseudogene"	"WBP1LP7"
chr1	450740	451678	"OR4F29"	"protein_coding"	"OR4F29"
chr1	485026	485208	"ENSG00000237094"	"transcribed_unprocessed_pseudogene"	"ENSG00000237094"
chr1	487101	489906	"CICP7"	"processed_pseudogene"	"CICP7"
chr1	491225	493241	"ENSG00000250575"	"unprocessed_pseudogene"	"ENSG00000250575"
chr1	516376	516479	"U6"	"snRNA"	"U6"
chr1	586071	827796	"ENSG00000293331"	"lncRNA"	"ENSG00000293331"
chr1	587629	594768	"ENSG00000235146"	"lncRNA"	"ENSG00000235146"
chr1	629062	629433	"MTND1P23"	"unprocessed_pseudogene"	"MTND1P23"
chr1	629640	630683	"MTND2P28"	"unprocessed_pseudogene"	"MTND2P28"
